distance_km,travel_time_min,transport_mode,cost_rs,traffic_level,weather_condition,temperature_c,co2_g
4.3,8,Car,34,Low,Foggy,22,1077.5142044685172
17.7,45,Metro,70,High,Sunny,25,1108.8372918077184
14.1,42,Car,112,High,Rainy,26,3533.2442518618823
18.0,54,Car,144,High,Cold,36,4510.524576844956
16.5,74,Bus,49,High,Rainy,29,1860.5913879485445
3.4,8,Metro,13,High,Sunny,22,212.99699390656735
2.0,8,Bicycle,0,Low,Sunny,15,0.0
19.0,48,Metro,76,High,Cold,22,1190.2773188896413
14.1,24,Metro,56,Low,Cold,16,883.3110629654706
9.2,22,Car,73,Medium,Cold,35,2305.3792281651995
11.3,22,Two-Wheeler,56,Low,Foggy,40,1698.9642572782668
7.1,17,Car,56,Medium,Rainy,18,1779.1513608666214
12.4,37,Car,99,High,Sunny,14,3107.250264048748
13.2,26,Two-Wheeler,66,Low,Rainy,18,1984.6308138117804
9.9,44,Bus,29,High,Cold,22,1116.3548327691267
10.4,17,Metro,41,Low,Cold,15,651.5202166553826
15.0,25,Metro,60,Low,Foggy,27,939.6926201760325
16.5,39,Car,132,Medium,Cold,19,4134.647528774543
17.8,53,Bus,53,Low,Sunny,24,2007.1834366960056
11.4,27,Car,91,Medium,Rainy,13,2856.665565335139
7.5,15,Metro,30,Medium,Sunny,35,469.84631008801625
12.7,57,Bus,38,High,Rainy,29,1432.0915531482735
16.4,42,Metro,65,High,Foggy,40,1027.3972647257954
13.9,41,Bus,41,Low,Cold,36,1567.4072904536222
9.5,28,Bus,28,Low,Cold,23,1071.2495870006771
3.2,9,Bus,9,Low,Foggy,32,360.8419661475965
5.9,26,Bus,17,High,Foggy,25,665.3023750846311
1.6,28,Walk,0,High,Cold,38,0.0
9.6,23,Car,76,Medium,Cold,15,2405.613107650643
2.6,5,Two-Wheeler,13,Low,Rainy,40,390.91212999322954
4.9,14,Two-Wheeler,24,High,Foggy,14,736.7190142180095
19.0,45,Car,152,Medium,Foggy,23,4761.109275558565
15.6,40,Metro,62,High,Sunny,34,977.2803249830738
18.2,46,Metro,72,High,Sunny,34,1140.1603791469195
11.6,23,Car,92,Low,Cold,23,2906.7825050778606
12.4,21,Metro,49,Low,Rainy,34,776.812566012187
7.7,15,Metro,30,Medium,Sunny,10,482.3755450236967
7.8,28,Bus,23,Medium,Foggy,18,879.5522924847664
1.4,3,Two-Wheeler,7,Medium,Sunny,39,210.49114691943126
18.2,37,Metro,72,Medium,Sunny,38,1140.1603791469195
11.1,22,Two-Wheeler,55,Low,Sunny,24,1668.8940934326336
9.1,21,Car,72,Medium,Rainy,30,2280.320758293839
16.7,60,Bus,50,Medium,Foggy,27,1883.144010832769
14.5,34,Car,116,Medium,Foggy,12,3633.478131347326
5.8,11,Car,46,Low,Sunny,39,1453.3912525389303
